tweet_id,golden_intent,customer_text,historical_customer,historical_reply,similarity,retrieval_judgment,draft_reply,relevance,groundedness,helpfulness,safety,total_score,quality
1941717,other,@VerizonSupport Ok,Ok.,"Please follow us, so we can DM you.",1.0,RELEVANT,"Please follow us, so we can DM you.",2,2,2,2,8,Good
2380535,router_equipment_issue,"@VerizonSupport Went with channel 11 for 2.4GHz, 161 for 5GHz. Laptop can now pickup the 5GHz band again but only when close to the router, seems installed Extender isn't working very far, iPhone still not even recognizing 5GHz.",Both my macbooks and my iphone are connected to the 5Ghz,Can you connect them to the 2.4 and test.,0.4079917188887169,RELEVANT,Can you connect them to the 2.4 and test.,2,2,2,2,8,Good
1852232,service_outage,"@VerizonSupport According to the site,  everything is good.",They’re good,If that is the case you may want to reseat the connections. This may make for better contact since the issue is isolated to just 1 TV.,0.4701447092273024,PARTIAL,If that is the case you may want to reseat the connections. This may make for better contact since the issue is isolated to just 1 TV.,0,0,0,1,1,Poor
1186938,support_request,"@VerizonSupport Tired of being rerouted to different departments, only to end back up in customer services",That’s you generic phone number for customer services..,"That's correct, The number to our Financial Service Team is 888 338-9333. They can be reached after 8:30 am tomorrow morning.",0.4341613122596081,PARTIAL,"That's correct, The number to our Financial Service Team is 888 338-9333. They can be reached after 8:30 am tomorrow morning.",1,2,1,2,6,Needs improvement
2421268,billing_payment_issue,@VerizonSupport Nobody can give me answers or return my money how is this right ?,Right next to it,Please follow and DM us for assistance.,0.4013752743054477,IRRELEVANT,Please follow and DM us for assistance.,0,0,1,2,3,Poor
1751245,account_issue,@VerizonSupport There is no button to click. My dilemma,I can’t find the button,"If you do not see an alarm silence button on that unit to hold down for 20 seconds, check the power supply plugged in to an outlet for a reset button located on it.",0.6520989552484808,IRRELEVANT,"If you do not see an alarm silence button on that unit to hold down for 20 seconds, check the power supply plugged in to an outlet for a reset button located on it.",1,2,1,2,6,Needs improvement
1242058,internet_wifi_issue,@VerizonSupport Wired ethernet directly to the ONT.,wired ethernet,"Oh no, Can you power cycle the router by unplugging the power cable then plugging it back in? It takes about 3 min. to reboot.",0.660330939463955,RELEVANT,"Oh no, Can you power cycle the router by unplugging the power cable then plugging it back in? It takes about 3 min. to reboot.",2,2,2,2,8,Good
125620,internet_wifi_issue,@VerizonSupport I could look. I don’t understand why the internet is so bad though. I lose connection all the time,"I’m wireless, lights do change, and other devices lose connection",Thank you. Is your router's internet light turning red when you lose connection?,0.3944846440718581,RELEVANT,Thank you. Is your router's internet light turning red when you lose connection?,2,2,2,2,8,Good
188217,internet_wifi_issue,"@VerizonSupport Yes, I own a custom AV installation business. This is what I do. It's on your end.",Installation,We can see if we can find the tech. Please follow and DM us.,0.48702212232354253,PARTIAL,We can see if we can find the tech. Please follow and DM us.,1,1,1,2,5,Needs improvement
363200,other,"@VerizonSupport yes, both version 5.9",version 5.9,Is that the same on both the iPad and the iPhone that is working?,0.9187432348287612,RELEVANT,Is that the same on both the iPad and the iPhone that is working?,2,2,2,2,8,Good
1943171,service_outage,@VerizonSupport I’m now home and still have no service. It’s been over 4 hours. I deliver for a delivery app and can’t right now due to this. Please help.,It's my home service,What problem are you having this evening?,0.49376590032322487,PARTIAL,What problem are you having this evening?,0,0,0,2,2,Poor
961516,complaint_feedback,@VerizonSupport Thanks for ur response tho I guess...,Thanks! guess what? My internets still down!!! 🙃🙃🙃,"You are most welcome. Sorry to hear that, come on over.",0.5272447639093099,PARTIAL,"You are most welcome. Sorry to hear that, come on over.",0,0,0,2,2,Poor
935215,support_request,@VerizonSupport Doh!  I forgot.  Switching to DM,DM,Please initiate the DM with your results.,0.5955300638266134,RELEVANT,Please initiate the DM with your results.,2,2,2,2,8,Good
688296,installation_availability,@VerizonSupport North Georgia 30528,Same reports on from other FiOS users around the north east. Is this something Verizon is investigating or could join in on? Been over 4 hours of outage for some.,Please follow and DM us.,0.3730364923203021,IRRELEVANT,Please follow and DM us.,1,2,1,2,6,Needs improvement
510740,installation_availability,@VerizonSupport We use @116136 at the company (FIOS is not available here) and myself and most of our employees use @115722 at home. Our systems work great from home (everything we run is in the cloud) but we are pulling our hair out re comcast at the office...,what could you use?,What is the order for? Is this for your Verizon residential or Verizon wireless mobile?,0.4078346490190484,PARTIAL,What is the order for? Is this for your Verizon residential or Verizon wireless mobile?,1,1,1,2,5,Needs improvement
1952445,router_equipment_issue,@VerizonSupport I have to do that at least once a week.,For about a week,Try refreshing the app and see if they appear.,1.0,IRRELEVANT,Try refreshing the app and see if they appear.,0,2,0,2,4,Poor
1463307,complaint_feedback,"@VerizonSupport this is fun. it's not blizzards fault, according to them. it's not your fault, according to you. guess imma just wait for a miracle to happen. guess ill just watch netflix",Prob more the fault of since I can watch on WiFi through ABCGo app,Did you record the show through your Playstation? We just want to make sure everything is working on our end.,0.3579311337481726,PARTIAL,Did you record the show through your Playstation? We just want to make sure everything is working on our end.,0,0,0,2,2,Poor
201052,other,@VerizonSupport Wish I knew about that before I worked on my paper. At least now I have an excuse as to why I couldn't finish it,lol I wish. I’m in Australia.,"Gotcha, so really from the land down under. Sorry for the confusion.",0.29388465735192115,RELEVANT,"Gotcha, so really from the land down under. Sorry for the confusion.",1,1,1,2,5,Needs improvement
419291,internet_wifi_issue,"@VerizonSupport It seems to be good again, I'll let you know if it cuts out again",Ok. I’ll let you know.,Thanks very much. Please give it about 5 minutes after holding down the button.,0.6897129590845904,PARTIAL,Thanks very much. Please give it about 5 minutes after holding down the button.,1,1,1,2,5,Needs improvement
1469731,internet_wifi_issue,"@VerizonSupport Yep.  Tried everything.  Some days it works, some days it cuts out","All the fios routers autoselect 6 and interfere with each other. This is not an all the time thing. It works for days than cuts off, necessitating the reboot and resumes working for another few days",Just choose different channel from the one you are currently using.,0.5390968228569014,RELEVANT,Just choose different channel from the one you are currently using.,2,2,2,2,8,Good
